สถานพยาบาลที่ได้รับการรับรองกระบวนการคุณภาพสถานพยาบาล (HA) และขั้นก้าวหน้า (A-HA) (ข้อมูล ณ 30 พฤศจิกายน 2563),,,,,,,,,
เขต,จังหวัด,โรงพยาบาล,H Code,สังกัด,ชนิดรพ.,ขั้นปัจจุบัน,วันรับรอง,วันหมดอายุ,หมายเหตุ
1,เชียงใหม่,ธัญญารักษ์เชียงใหม่,13785,รัฐในสังกัดสธ.,กรมการแพทย์,r1,11-ก.ย.-18,10-ก.ย.-21,
1,เชียงใหม่,ทั่วไปขนาดกลางเชียงใหม่ ฮอสพิทอล,14916,เอกชน,เอกชน,2,5-ส.ค.-20,4-ส.ค.-21,
1,เชียงใหม่,ประสาทเชียงใหม่,12281,รัฐในสังกัดสธ.,กรมการแพทย์,r3,14-พ.ค.-19,13-พ.ค.-22,
1,เชียงใหม่,ตาเซนต์ปีเตอร์,11979,เอกชน,เอกชน,1e,15-ต.ค.-19,14-ต.ค.-20,อยู่ระหว่างต่ออายุ
1,เชียงใหม่,ทันตกรรม คณะทันตแพทยศาสตร์  มหาวิทยาลัยเชียงใหม่,14922,กระทรวงศึกษาธิการ,กระทรวงศึกษาธิการ,2e,24-พ.ย.-17,23-พ.ย.-18,
1,เชียงใหม่,ส่งเสริมสุขภาพ ศูนย์อนามัยที่ 1 เชียงใหม่,12279,รัฐในสังกัดสธ.,กรมอนามัย,r1,25-ก.ย.-18,24-ก.ย.-21,
1,เชียงใหม่,แม่อาย,11126,รัฐในสังกัดสป.สธ.,รพช.,3,1-พ.ค.-20,30-เม.ย.-21,
1,เชียงใหม่,เชียงดาว,11121,รัฐในสังกัดสป.สธ.,รพช.,r1,18-ก.พ.-20,17-ก.พ.-23,
1,เชียงใหม่,สันกำแพง,11129,รัฐในสังกัดสป.สธ.,รพช.,3,29-ต.ค.-19,28-ต.ค.-21,
1,เชียงใหม่,เชียงใหม่ ราม,14636,เอกชน,สมาคมโรงพยาบาลเอกชน,r4,14-ส.ค.-18,13-ส.ค.-21,
1,น่าน,สันติสุข,11181,รัฐในสังกัดสป.สธ.,รพช.,3,24-ก.ย.-19,23-ก.ย.-21,
1,น่าน,น่าน,10716,รัฐในสังกัดสป.สธ.,รพท.,r3,23-ม.ค.-20,22-ม.ค.-23,
1,น่าน,แม่จริม,11173,รัฐในสังกัดสป.สธ.,รพช.,r1,13-ก.พ.-18,12-ก.พ.-21,
1,น่าน,เฉลิมพระเกียรติ,11625,รัฐในสังกัดสป.สธ.,รพช.,2e,21-พ.ค.-18,20-พ.ค.-19,
1,น่าน,สองแคว,11183,รัฐในสังกัดสป.สธ.,รพช.,3e,20-ก.พ.-18,19-ก.พ.-20,
1,น่าน,ท่าวังผา,11176,รัฐในสังกัดสป.สธ.,รพช.,r2,14-พ.ย.-20,13-พ.ย.-21,
1,น่าน,ค่ายสุริยพงษ์,11510,กระทรวงกลาโหม,กรมแพทย์ทหารบก,r1,10-ก.ย.-19,9-ก.ย.-22,
1,น่าน,ทุ่งช้าง,11178,รัฐในสังกัดสป.สธ.,รพช.,r1,13-มิ.ย.-20,12-มิ.ย.-21,
1,น่าน,บ้านหลวง,11174,รัฐในสังกัดสป.สธ.,รพช.,3,14-ม.ค.-20,13-ม.ค.-22,
1,น่าน,นาน้อย,11175,รัฐในสังกัดสป.สธ.,รพช.,2e,25-ก.ย.-17,24-ก.ย.-18,
1,น่าน,เชียงกลาง,11179,รัฐในสังกัดสป.สธ.,รพช.,r1,16-ต.ค.-18,15-ต.ค.-21,
1,น่าน,สมเด็จพระยุพราชปัว,11453,รัฐในสังกัดสป.สธ.,รพช.,r4,26-พ.ค.-20,25-พ.ค.-23,
1,น่าน,ภูเพียง,25017,รัฐในสังกัดสป.สธ.,รพช.,0,,,
1,น่าน,นาหมื่น,11180,รัฐในสังกัดสป.สธ.,รพช.,3,12-พ.ค.-20,11-พ.ค.-22,
1,น่าน,เวียงสา,11177,รัฐในสังกัดสป.สธ.,รพช.,r2,27-ก.พ.-20,26-ก.พ.-23,
1,น่าน,บ่อเกลือ,11182,รัฐในสังกัดสป.สธ.,รพช.,3,8-พ.ค.-20,7-พ.ค.-21,
1,พะเยา,พะเยา,10717,รัฐในสังกัดสป.สธ.,รพท.,r4,14-ม.ค.-20,13-ม.ค.-23,
1,พะเยา,แม่ใจ,11188,รัฐในสังกัดสป.สธ.,รพช.,3,10-เม.ย.-20,9-เม.ย.-21,
1,พะเยา,ค่ายขุนเจืองธรรมิกราช,15140,กระทรวงกลาโหม,กรมแพทย์ทหารบก,r1,15-ม.ค.-19,14-ม.ค.-22,
1,พะเยา,พะเยาราม,12020,เอกชน,สมาคมโรงพยาบาลเอกชน,0,,,
1,พะเยา,ปง,11187,รัฐในสังกัดสป.สธ.,รพช.,r2,13-ก.พ.-18,12-ก.พ.-21,
1,พะเยา,เชียงคำ,10718,รัฐในสังกัดสป.สธ.,รพท.,r4,14-พ.ค.-19,13-พ.ค.-22,
1,พะเยา,เชียงม่วน,11185,รัฐในสังกัดสป.สธ.,รพช.,3,21-พ.ย.-20,20-พ.ย.-21,
1,พะเยา,ดอกคำใต้,11186,รัฐในสังกัดสป.สธ.,รพช.,3,8-พ.ค.-20,7-พ.ค.-21,
1,พะเยา,จุน,11184,รัฐในสังกัดสป.สธ.,รพช.,r1,13-ธ.ค.-18,12-ธ.ค.-21,
1,พะเยา,ภูกามยาว,40745,รัฐในสังกัดสป.สธ.,รพช.,0,,,
1,พะเยา,ภูซาง,40744,รัฐในสังกัดสป.สธ.,รพช.,0,,,
1,แพร่,แพร่,10715,รัฐในสังกัดสป.สธ.,รพท.,r4,13-ก.พ.-18,12-ก.พ.-21,
1,แพร่,แพร่ราม,22343,เอกชน,สมาคมโรงพยาบาลเอกชน,0,,,
1,แพร่,แพร่คริสเตียน,12011,เอกชน,สมาคมโรงพยาบาลเอกชน,0,,,
1,แพร่,สมเด็จพระยุพราชเด่นชัย,11452,รัฐในสังกัดสป.สธ.,รพช.,r1,1-พ.ค.-20,30-เม.ย.-21,
1,แพร่,วังชิ้น,11171,รัฐในสังกัดสป.สธ.,รพช.,3,18-ก.พ.-20,17-ก.พ.-22,
1,แพร่,หนองม่วงไข่,11172,รัฐในสังกัดสป.สธ.,รพช.,3,11-มิ.ย.-19,10-มิ.ย.-21,
1,แพร่,ร้องกวาง,11166,รัฐในสังกัดสป.สธ.,รพช.,3,12-ก.พ.-19,11-ก.พ.-21,
1,แพร่,สอง,11170,รัฐในสังกัดสป.สธ.,รพช.,r4,8-ต.ค.-19,7-ต.ค.-22,
1,แพร่,สูงเม่น,11169,รัฐในสังกัดสป.สธ.,รพช.,r2,9-ก.ย.-20,8-ก.ย.-23,
1,แพร่,ลอง,11167,รัฐในสังกัดสป.สธ.,รพช.,r1,26-พ.ค.-20,25-พ.ค.-23,
1,แม่ฮ่องสอน,แม่สะเรียง,11205,รัฐในสังกัดสป.สธ.,รพช.,3,7-ต.ค.-20,6-ต.ค.-22,
1,แม่ฮ่องสอน,ปาย,11204,รัฐในสังกัดสป.สธ.,รพช.,r3,28-ส.ค.-18,27-ส.ค.-21,
1,แม่ฮ่องสอน,แม่ลาน้อย,11206,รัฐในสังกัดสป.สธ.,รพช.,3,24-ธ.ค.-19,23-ธ.ค.-21,
1,แม่ฮ่องสอน,ศรีสังวาลย์,10719,รัฐในสังกัดสป.สธ.,รพท.,r2,18-ก.พ.-20,17-ก.พ.-23,
1,แม่ฮ่องสอน,ธัญญารักษ์แม่ฮ่องสอน,14197,รัฐในสังกัดสธ.,กรมการแพทย์,r1,29-ม.ค.-19,28-ม.ค.-22,
1,แม่ฮ่องสอน,ปางมะผ้า,11208,รัฐในสังกัดสป.สธ.,รพช.,3,14-ม.ค.-20,13-ม.ค.-22,
1,แม่ฮ่องสอน,ขุนยวม,11203,รัฐในสังกัดสป.สธ.,รพช.,r2,19-พ.ย.-19,18-พ.ย.-22,
1,แม่ฮ่องสอน,สบเมย,11207,รัฐในสังกัดสป.สธ.,รพช.,3,26-พ.ค.-20,25-พ.ค.-22,
1,ลำปาง,เกาะคา,11147,รัฐในสังกัดสป.สธ.,รพช.,r3,24-ก.ย.-19,23-ก.ย.-22,
1,ลำปาง,เถิน,11152,รัฐในสังกัดสป.สธ.,รพช.,r2,14-ธ.ค.-18,13-ธ.ค.-21,
1,ลำปาง,เขลางค์นครราม,12003,เอกชน,สมาคมโรงพยาบาลเอกชน,0,,,
1,ลำปาง,ลำปาง,10672,รัฐในสังกัดสป.สธ.,รพศ.,r4,12-พ.ค.-20,11-พ.ค.-23,
1,ลำปาง,แจ้ห่ม,11150,รัฐในสังกัดสป.สธ.,รพช.,r3,15-ม.ค.-19,14-ม.ค.-22,
1,ลำปาง,เมืองปาน,11157,รัฐในสังกัดสป.สธ.,รพช.,r2,11-ก.ย.-18,10-ก.ย.-21,
1,ลำปาง,สบปราบ,11155,รัฐในสังกัดสป.สธ.,รพช.,r2,13-ส.ค.-20,12-ส.ค.-23,
1,ลำปาง,แม่ทะ,11154,รัฐในสังกัดสป.สธ.,รพช.,2,5-พ.ย.-20,4-พ.ย.-21,
1,ลำปาง,แม่พริก,11153,รัฐในสังกัดสป.สธ.,รพช.,r3,9-ก.ค.-19,8-ก.ค.-22,
1,ลำปาง,แม่เมาะ,11146,รัฐในสังกัดสป.สธ.,รพช.,r1,23-ก.ย.-20,22-ก.ย.-23,
1,ลำปาง,เสริมงาม,11148,รัฐในสังกัดสป.สธ.,รพช.,r2,25-ก.ย.-18,24-ก.ย.-21,
1,ลำปาง,ห้างฉัตร,11156,รัฐในสังกัดสป.สธ.,รพช.,3,9-ก.ย.-20,8-ก.ย.-23,
1,ลำปาง,มะเร็งลำปาง,12283,รัฐในสังกัดสธ.,กรมการแพทย์,r3,12-พ.ค.-20,11-พ.ค.-23,
1,ลำปาง,งาว,11149,รัฐในสังกัดสป.สธ.,รพช.,3,28-ต.ค.-20,27-ต.ค.-22,
1,ลำปาง,ทั่วไปขนาดเล็กแวนแซนต์วูร์ด,12005,เอกชน,เอกชน,0,,,
1,ลำปาง,วังเหนือ,11151,รัฐในสังกัดสป.สธ.,รพช.,r1,13-พ.ย.-18,12-พ.ย.-21,
1,ลำปาง,ค่ายสุรศักดิ์มนตรี,11512,กระทรวงกลาโหม,กรมแพทย์ทหารบก,r2,10-เม.ย.-18,9-เม.ย.-21,
1,ลำพูน,แม่ทา,11140,รัฐในสังกัดสป.สธ.,รพช.,r1,14-ธ.ค.-18,13-ธ.ค.-21,
1,ลำพูน,หริภุญชัย  เมโมเรียล,12000,เอกชน,สมาคมโรงพยาบาลเอกชน,r2,19-พ.ย.-19,18-พ.ย.-22,
1,ลำพูน,บ้านโฮ่ง,11141,รัฐในสังกัดสป.สธ.,รพช.,r2,18-ก.พ.-20,17-ก.พ.-23,
